ticker,roe,debt_to_equity,current_ratio,quick_ratio,oper_cash_flow,total_revenue,ebitda_margin,operating_margin,gross_margin,analyst_rating,pb_ratio,eps,market_cap,ev_to_ebitda,price_to_sales,payout_ratio,beta,shares_outstanding,float_shares,revenue_growth,rnd_to_revenue,hist_volatility,sharpe_ratio,max_drawdown,stddev_returns,value_at_risk,avg_volume_30d,volume_growth,turnover_ratio,bid_ask_spread
ACHR,-0.9588,10.4970,12.0730,11.7370,-368600000.0000,,0.0000,0.0000,0.0000,1.7778,5.6325,-1.4200,4619918848.0000,-7.9490,,0.0000,3.1290,542470016.0000,430065001.0000,,,65.5265,-1.1191,-34.7094,3.6529,6.8160,1902776.6667,-72.4972,0.4424,3.0483
GFS,-0.0238,21.4430,2.1080,1.5700,1722000000.0000,6750000128.0000,0.3290,0.1284,0.2446,2.2000,1.7819,-0.4800,19202668544.0000,8.4740,2.8448,0.0000,1.5380,552913024.0000,102482392.0000,-1.3000,6.6120,55.6963,-0.4308,-25.8545,2.3045,3.1202,497930.0000,-19.7423,0.4859,2.5274
DG,0.1589,235.5550,1.1890,0.1540,2996064000.0000,40612306944.0000,0.0717,0.0505,0.2959,2.4194,2.7845,5.1100,20644227072.0000,12.6390,0.5083,0.4618,0.2770,219947008.0000,218064331.0000,4.5000,,34.6030,-0.5686,-22.7230,1.4280,3.4757,47829656.6667,-45.8172,21.9337,1.5217
IBRX,,,3.3600,2.7750,-391236000.0000,14745000.0000,0.0000,-9.1898,1.0000,1.2500,-3.5756,-0.6200,1808231936.0000,-7.4490,122.6336,0.0000,-0.1040,882580992.0000,226187770.0000,5333.1000,466.3798,40.7823,-1.7764,-45.5528,1.7373,4.5496,1131263.3333,-54.0100,0.5001,2.8902
TCBX,0.1127,,,,,172270000.0000,0.0000,0.3875,0.0000,2.5000,0.8689,2.9500,416832800.0000,,2.4196,0.0000,0.7390,13825300.0000,12752167.0000,17.0000,,45.4897,0.7750,-77.7321,2.4604,5.0536,77030.0000,-5.1896,0.6041,6.6158
EOLS,,2353.8390,2.4040,2.1380,-17999000.0000,266274000.0000,-0.0824,-0.0095,0.6846,1.4286,135.6322,-0.8100,750324224.0000,-36.7720,2.8179,0.0000,1.1170,63586800.0000,56934307.0000,29.4000,3.0780,103.0866,-2.6123,-74.0645,4.1737,11.5041,1575350.0000,-59.4584,2.7670,20.3455
IDT,0.3224,0.8790,1.6610,0.7770,55202000.0000,1221390976.0000,0.0785,0.0948,0.3430,,4.8422,3.1500,1323073024.0000,12.2240,1.0833,0.0635,0.6900,23641500.0000,16915006.0000,2.4000,4.1576,35.1784,-0.6564,-23.0858,1.6865,3.4182,100126.6667,-55.3943,0.5919,2.0513
ATEX,-0.1892,3.6990,1.6510,1.5140,-6568000.0000,5902000.0000,0.0000,-6.5185,1.0000,1.3333,3.7834,-1.6200,547660096.0000,-10.4330,92.7923,0.0000,0.9410,18586800.0000,12075091.0000,23.2000,71.5198,82.6436,-1.1292,-54.2320,5.0703,7.9620,1016576.6667,-27.5067,8.4188,11.6622
NBR,-0.0160,185.7760,1.7960,1.4290,,2932608000.0000,0.2968,0.0702,0.4024,3.0000,0.8150,-15.6500,388089856.0000,4.2040,0.1323,0.0000,1.9560,14535200.0000,8707009.0000,0.3000,1.9778,41.1679,-0.4573,-48.1290,2.4991,5.3559,220840.0000,-74.1344,2.5363,3.0428
VITL,0.2311,6.9480,3.1330,2.7330,64824000.0000,606307008.0000,0.1264,0.0783,0.3792,1.2000,5.8397,1.1800,1590909056.0000,18.6750,2.6239,0.0000,0.9460,44550800.0000,34109725.0000,22.2000,,37.5262,-1.3378,-57.9462,2.7339,3.3084,1181926.6667,-57.2569,3.4651,2.1453
RGEN,-0.0116,34.4350,6.7930,5.5570,145691008.0000,650428992.0000,0.1743,0.0559,0.5115,1.7368,3.8717,-0.4200,7687814656.0000,69.7030,11.8196,0.0000,1.2110,56183100.0000,52557043.0000,10.4000,7.6396,37.7514,-0.1637,-21.1043,1.5763,4.1119,638203.3333,-58.8509,1.2143,1.5979
WNS,0.2122,52.2740,1.7600,1.6100,,1314899968.0000,0.1761,0.1466,0.3540,1.8889,3.0552,3.7100,2559344384.0000,11.9690,1.9464,0.0000,0.9500,43596700.0000,37694598.0000,-0.1000,,51.2944,0.0189,-28.1490,2.1294,5.8515,1047930.0000,-66.9226,2.7801,1.9130
