iShares Russell 3000 ETF
Fund Holdings as of,"May 05, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"45,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","24,478,173.00","0.17","24,478,173.00","361,035.00","67.80","United States","NASDAQ","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","24,204,145.00","0.16","24,204,145.00","34,235.00","707.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","24,165,203.66","0.16","24,165,203.66","72,566.00","333.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSTR","MICROSTRATEGY INC CLASS A","Information Technology","Equity","24,084,297.77","0.16","24,084,297.77","62,309.00","386.53","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","23,903,799.54","0.16","23,903,799.54","297,237.00","80.42","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","23,698,873.20","0.16","23,698,873.20","1,169,160.00","20.27","United States","NASDAQ","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","23,002,321.24","0.16","23,002,321.24","26,044.00","883.21","United States","NASDAQ","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","22,850,837.90","0.16","22,850,837.90","340,549.00","67.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","22,786,095.06","0.16","22,786,095.06","73,782.00","308.83","United States","NASDAQ","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","22,726,591.02","0.15","22,726,591.02","63,161.00","359.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","22,232,359.98","0.15","22,232,359.98","66,393.00","334.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","21,689,321.04","0.15","21,689,321.04","15,636.00","1,387.14","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","21,595,972.30","0.15","21,595,972.30","14,665.00","1,472.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","21,456,900.08","0.15","21,456,900.08","71,087.00","301.84","United States","NASDAQ","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","21,317,291.18","0.15","21,317,291.18","34,574.00","616.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","21,186,865.26","0.14","21,186,865.26","85,338.00","248.27","United States","NASDAQ","USD","1.00","USD","-"
"KKR","KKR AND CO INC","Financials","Equity","20,949,519.37","0.14","20,949,519.37","182,503.00","114.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
